Date,Time,Sample ID,Sample,Arm,Tank,Beaker,TP,Target,Beaker conditions,Observed concentration (uM),Pump,Notes,
2023-04-24,,202,Initial seawater VAT_R1,Source,VAT-left,Source,T1,0,Source,0.89,Source,,
2023-04-24,,203,1_T1,Armand,1,1,T1,0,Skeleton,0.25,1,,
2023-04-24,,204,2_T1,Armand,1,2,T1,0,Skeleton,1.91,2,,
2023-04-24,,205,3_T1,Armand,1,3,T1,5,Coral,4.56,1,,
2023-04-24,,206,4_T1,Armand,1,4,T1,5,Coral,3.84,2,,
2023-04-24,,207,5_T1,Armand,1,5,T1,0,Coral,0.3,1,,
2023-04-24,,208,6_T1,Armand,1,6,T1,0,Coral,0.31,2,,
2023-04-24,,209,7_T1,Armand,1,7,T1,5,Empty,5.53,1,,
2023-04-24,,210,8_T1,Armand,1,8,T1,5,Empty,5.48,2,,
2023-04-24,,211,9_T1,Armand,1,9,T1,0,Skeleton,0.67,1,,
2023-04-24,,212,10_T1,Armand,1,10,T1,0,Skeleton,0.7,2,,
2023-04-24,,213,11_T1,Armand,1,11,T1,5,Coral,3.99,1,,
2023-04-24,,214,12_T1,Armand,1,12,T1,5,Coral,3.9,2,,
2023-04-24,,215,13_T1,Armand,1,13,T1,0,Coral,0.4,1,,
2023-04-24,,216,14_T1,Armand,1,14,T1,0,Coral,0.29,2,,
2023-04-24,,217,15_T1,Armand,1,15,T1,5,Skeleton,5.51,1,,
2023-04-24,,218,16_T1,Armand,1,16,T1,5,Skeleton,5.32,2,,
2023-04-24,,219,17_T1,Armand,2,17,T1,0,Coral,0.32,1,,
2023-04-24,,220,18_T1,Armand,2,18,T1,0,Coral,0,2,,
2023-04-24,,221,19_T1,Armand,2,19,T1,5,Skeleton,4.87,1,,
2023-04-24,,222,20_T1,Armand,2,20,T1,5,Skeleton,5.08,2,,
2023-04-24,,223,21_T1,Armand,2,21,T1,0,Skeleton,0.91,1,,
2023-04-24,,224,22_T1,Armand,2,22,T1,0,Skeleton,1.8,2,,
2023-04-24,,225,23_T1,Armand,2,23,T1,5,Coral,4.17,1,,
2023-04-24,,226,24_T1,Armand,2,24,T1,5,Coral,4.94,2,,
2023-04-24,,227,25_T1,Armand,2,25,T1,0,Coral,1.24,1,,
2023-04-24,,228,26_T1,Armand,2,26,T1,0,Coral,1.86,2,,
2023-04-24,,229,27_T1,Armand,2,27,T1,5,Empty,5.82,1,,
2023-04-24,,230,28_T1,Armand,2,28,T1,5,Skeleton,4.57,2,,
2023-04-24,,231,29_T1,Armand,2,29,T1,0,Empty,0.33,1,,
2023-04-24,,232,30_T1,Armand,2,30,T1,0,Empty,0.31,2,,
2023-04-24,,233,31_T1,Armand,2,31,T1,5,Coral,4.33,1,,
2023-04-24,,234,32_T1,Armand,2,32,T1,5,Coral,9.94,2,,
2023-04-24,,235,33_T1,Armand,5,33,T1,0,Empty,0.21,1,,
2023-04-24,,236,34_T1,Armand,5,34,T1,0,Empty,0.28,2,,
2023-04-24,,237,35_T1,Armand,5,35,T1,5,Skeleton,5.54,1,,
2023-04-24,,238,36_T1,Armand,5,36,T1,5,Skeleton,5.4,2,,
2023-04-24,,239,37_T1,Armand,5,37,T1,0,Skeleton,0.37,1,,
2023-04-24,,240,38_T1,Armand,5,38,T1,0,Skeleton,0.71,2,,
2023-04-24,,241,39_T1,Armand,5,39,T1,5,Empty,5.13,1,,
2023-04-24,,242,40_T1,Armand,5,40,T1,5,Empty,4.85,2,,
2023-04-24,,243,41_T1,Armand,5,41,T1,0,Empty,0.36,1,,
2023-04-24,,244,42_T1,Armand,5,42,T1,0,Empty,0.38,2,,
2023-04-24,,245,43_T1,Armand,5,43,T1,5,Skeleton,4.2,1,,
2023-04-24,,246,44_T1,Armand,5,44,T1,5,Skeleton,4.38,2,,
2023-04-24,,247,45_T1,Armand,5,45,T1,0,Skeleton,0.87,1,,
2023-04-24,,248,46_T1,Armand,5,46,T1,0,Skeleton,0,2,,
2023-04-24,,249,47_T1,Armand,5,47,T1,5,Empty,5.15,1,,
2023-04-24,,250,48_T1,Armand,5,48,T1,5,Empty,4.9,2,,
2023-04-24,,251,49_T1,Armanda,3,49,T1,0,Skeleton,1.65,2,,
2023-04-24,,252,50_T1,Armanda,3,50,T1,0,Skeleton,0.01,1,,
2023-04-24,,253,51_T1,Armanda,3,51,T1,5,Coral,4.3,2,,
2023-04-24,,254,52_T1,Armanda,3,52,T1,5,Coral,4.14,1,,
2023-04-24,,255,53_T1,Armanda,3,53,T1,0,Coral,0.19,2,,
2023-04-24,,256,54_T1,Armanda,3,54,T1,0,Coral,1.84,1,,
2023-04-24,,257,55_T1,Armanda,3,55,T1,5,Skeleton,5.33,2,,
2023-04-24,,258,56_T1,Armanda,3,56,T1,5,Skeleton,4.64,1,,
2023-04-24,,259,57_T1,Armanda,3,57,T1,0,Skeleton,0.17,2,,
2023-04-24,,260,58_T1,Armanda,3,58,T1,0,Skeleton,0.77,1,,
2023-04-24,,261,59_T1,Armanda,3,59,T1,5,Coral,4.35,2,,
2023-04-24,,262,60_T1,Armanda,3,60,T1,5,Coral,3.76,1,,
2023-04-24,,263,61_T1,Armanda,3,61,T1,0,Coral,0.33,2,,
2023-04-24,,264,62_T1,Armanda,3,62,T1,0,Coral,0.22,1,,
2023-04-24,,265,63_T1,Armanda,3,63,T1,5,Skeleton,4.8,2,,
2023-04-24,,266,64_T1,Armanda,3,64,T1,5,Skeleton,5.03,1,,
2023-04-24,,267,65_T1,Armanda,4,65,T1,0,Coral,0.7,2,,
2023-04-24,,268,66_T1,Armanda,4,66,T1,0,Coral,0.73,1,,
2023-04-24,,269,67_T1,Armanda,4,67,T1,5,Skeleton,4.74,2,,
2023-04-24,,270,68_T1,Armanda,4,68,T1,5,Skeleton,4.99,1,,
2023-04-24,,271,69_T1,Armanda,4,69,T1,0,Empty,0.77,2,,
2023-04-24,,272,70_T1,Armanda,4,70,T1,0,Empty,0.78,1,,
2023-04-24,,273,71_T1,Armanda,4,71,T1,5,Coral,3.96,2,,
2023-04-24,,274,72_T1,Armanda,4,72,T1,5,Coral,3.95,1,,
2023-04-24,,275,73_T1,Armanda,4,73,T1,0,Coral,0.51,2,,
2023-04-24,,276,74_T1,Armanda,4,74,T1,0,Coral,0.33,1,,
2023-04-24,,277,75_T1,Armanda,4,75,T1,5,Empty,5.22,2,,
2023-04-24,,278,76_T1,Armanda,4,76,T1,5,Empty,5.15,1,,
2023-04-24,,279,77_T1,Armanda,4,77,T1,0,Empty,0.86,2,,
2023-04-24,,280,78_T1,Armanda,4,78,T1,0,Empty,0.84,1,,
2023-04-24,,281,79_T1,Armanda,4,79,T1,5,Coral,4.38,2,,
2023-04-24,,282,80_T1,Armanda,4,80,T1,5,Coral,3.67,1,,
2023-04-24,,283,81_T1,Armanda,8,81,T1,0,Empty,0.8,2,,
2023-04-24,,284,82_T1,Armanda,8,82,T1,0,Empty,0.2,1,,
2023-04-24,,285,83_T1,Armanda,8,83,T1,5,Empty,5,2,,
2023-04-24,,286,84_T1,Armanda,8,84,T1,5,Empty,5.07,1,,
2023-04-24,,287,85_T1,Armanda,8,85,T1,0,Empty,0.4,2,,
2023-04-24,,288,86_T1,Armanda,8,86,T1,0,Empty,0.22,1,,
2023-04-24,,289,87_T1,Armanda,8,87,T1,5,Empty,5.14,2,,
2023-04-24,,290,88_T1,Armanda,8,88,T1,5,Empty,5.14,1,,
2023-04-24,,291,89_T1,Armanda,8,89,T1,0,Empty,0.17,2,,
2023-04-24,,292,90_T1,Armanda,8,90,T1,0,Empty,0.49,1,,
2023-04-24,,293,91_T1,Armanda,8,91,T1,5,Empty,5.29,2,,
2023-04-24,,294,92_T1,Armanda,8,92,T1,5,Empty,5.51,1,,
2023-04-24,,295,93_T1,Armanda,8,93,T1,0,Empty,0.55,2,,
2023-04-24,,296,94_T1,Armanda,8,94,T1,0,Empty,0.16,1,,
2023-04-24,,297,95_T1,Armanda,8,95,T1,5,Empty,5.52,2,,
2023-04-24,,298,96_T1,Armanda,8,96,T1,5,Empty,5.42,1,,
2023-04-25,,299,Source_T2,Source,VAT-left,Source,T2,0,Source,0.77,Source,,
2023-04-25,,300,Source_T2,Source,VAT-right,Source,T2,0,Source,2.47,Source,,
2023-04-05,,301,1_T1,Armand,1,1,T2,0,Skeleton,0.37,1,,
2023-04-25,,302,2_T1,Armand,1,2,T2,0,Skeleton,0.6,2,,
2023-04-25,,303,3_T1,Armand,1,3,T2,5,Coral,1.57,1,,
2023-04-25,,304,4_T1,Armand,1,4,T2,5,Coral,0.71,2,,
2023-04-25,,305,5_T1,Armand,1,5,T2,0,Coral,0.19,1,,
2023-04-25,,306,6_T1,Armand,1,6,T2,0,Coral,0.85,2,,
2023-04-25,,307,7_T1,Armand,1,7,T2,5,Empty,2.8,1,,
2023-04-25,,308,8_T1,Armand,1,8,T2,5,Empty,2.97,2,,
2023-04-25,,309,9_T1,Armand,1,9,T2,0,Skeleton,0.4,1,,
2023-04-25,,310,10_T1,Armand,1,10,T2,0,Skeleton,0.26,2,,
2023-04-25,,311,11_T1,Armand,1,11,T2,5,Coral,1.52,1,,
2023-04-25,,312,12_T1,Armand,1,12,T2,5,Coral,1.2,2,,
2023-04-25,,313,13_T1,Armand,1,13,T2,0,Coral,0.19,1,,
2023-04-25,,314,14_T1,Armand,1,14,T2,0,Coral,0.17,2,,
2023-04-25,,315,15_T1,Armand,1,15,T2,5,Skeleton,2.54,1,,
2023-04-25,,316,16_T1,Armand,1,16,T2,5,Skeleton,2.56,2,,
2023-04-25,,317,17_T1,Armand,2,17,T2,0,Coral,0.24,1,,
2023-04-25,,318,18_T1,Armand,2,18,T2,0,Coral,0,2,,
2023-04-25,,319,19_T1,Armand,2,19,T2,5,Skeleton,1.53,1,,
2023-04-25,,320,20_T1,Armand,2,20,T2,5,Skeleton,2.79,2,,
2023-04-25,,321,21_T1,Armand,2,21,T2,0,Skeleton,0.42,1,,
2023-04-25,,322,22_T1,Armand,2,22,T2,0,Skeleton,0.76,2,,
2023-04-25,,323,23_T1,Armand,2,23,T2,5,Coral,1.14,1,,
2023-04-25,,324,24_T1,Armand,2,24,T2,5,Coral,1.49,2,,
2023-04-25,,325,25_T1,Armand,2,25,T2,0,Coral,0.07,1,,
2023-04-25,,326,26_T1,Armand,2,26,T2,0,Coral,0.45,2,,
2023-04-25,,327,27_T1,Armand,2,27,T2,5,Empty,2.06,1,,
2023-04-25,,328,28_T1,Armand,2,28,T2,5,Skeleton,1.65,2,,
