Date,Time,Sample ID,Sample,Arm,Treatment,Tank,Beaker,Pump,TP,Coral,Genotype,Colony,Tag,Disease,Nutrients,Temp,Treatment2,Target,Beaker conditions,Notes,NH4 concentration (uM),NO2,N+N,NO3,PO4,N
5/2/23,12:40 PM,1,1_T1,Armand,LN_28,1,1,2,T1,A_740,A,Eevee,740,Placebo,LN,28,LN_28_Placebo,0,Coral,,0.79,,,,,
5/2/23,12:40 PM,2,2_T1,Armand,LN_28,1,2,2,T1,C_534,C,Clefairy,534,Placebo,LN,28,LN_28_Placebo,0,Coral,,1.47,,,,,
5/2/23,12:40 PM,3,3_T1,Armand,LN_28,1,3,2,T1,D_535,D,Ditto,535,Placebo,LN,28,LN_28_Placebo,0,Coral,,0.96,,,,,
5/2/23,12:40 PM,4,4_T1,Armand,LN_28,1,4,2,T1,BLANK,NA,NA,NA,Placebo,LN,28,LN_28_Placebo,0,Empty,,1.26,,,,,
5/2/23,12:40 PM,5,5_T1,Armand,LN_28,1,5,1,T1,A_19,A,Eevee,19,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,0.34,,,,,
5/2/23,12:40 PM,6,6_T1,Armand,LN_28,1,6,1,T1,C_513,C,Clefairy,513,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,1.37,,,,,
5/2/23,12:40 PM,7,7_T1,Armand,LN_28,1,7,1,T1,D_536,D,Ditto,536,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,0.95,,,,,
5/2/23,12:40 PM,8,8_T1,Armand,LN_28,1,8,1,T1,BLANK,NA,NA,NA,SCTLD,LN,28,LN_28_SCTLD,0,Empty,,2.36,,,,,
5/2/23,12:40 PM,9,9_T1,Armand,HN_28,1,9,1,T1,A_74,A,Eevee,74,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,3.48,,,,,
5/2/23,12:40 PM,10,10_T1,Armand,HN_28,1,10,1,T1,C_514,C,Clefairy,514,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.71,,,,,
5/2/23,12:40 PM,11,11_T1,Armand,HN_28,1,11,1,T1,D_537,D,Ditto,537,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.55,,,,,
5/2/23,12:40 PM,12,12_T1,Armand,HN_28,1,12,1,T1,BLANK,NA,NA,NA,SCTLD,HN,28,HN_28_SCTLD,5,Empty,,5.5,,,,,
5/2/23,12:40 PM,13,13_T1,Armand,HN_28,1,13,1,T1,A_79,A,Eevee,79,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.4,,,,,
5/2/23,12:40 PM,14,14_T1,Armand,HN_28,1,14,1,T1,C_515,C,Clefairy,515,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.79,,,,,
5/2/23,12:40 PM,15,15_T1,Armand,HN_28,1,15,1,T1,D_538,D,Ditto,538,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.6,,,,,
5/2/23,12:40 PM,16,16_T1,Armand,HN_28,1,16,2,T1,BLANK,NA,NA,NA,Placebo,HN,28,HN_28_Placebo,5,Empty,,5.6,,,,,
5/2/23,12:40 PM,17,17_T1,Armand,HN_31,2,17,2,T1,A_80,A,Eevee,80,Placebo,HN,31,HN_31_Placebo,5,Coral,,3.68,,,,,
5/2/23,12:40 PM,18,18_T1,Armand,HN_31,2,18,2,T1,D_871,D,Ditto,871,Placebo,HN,31,HN_31_Placebo,5,Coral,,5.14,,,,,
5/2/23,12:40 PM,19,19_T1,Armand,HN_31,2,19,2,T1,D_539,D,Ditto,539,Placebo,HN,31,HN_31_Placebo,5,Coral,,5.64,,,,,
5/2/23,12:40 PM,20,20_T1,Armand,HN_31,2,20,2,T1,BLANK,NA,NA,NA,Placebo,HN,31,HN_31_Placebo,5,Empty,,6.13,,,,,
5/2/23,12:40 PM,21,21_T1,Armand,HN_31,2,21,1,T1,A_82,A,Eevee,82,SCTLD,HN,31,HN_31_SCTLD,5,Coral,,4.41,,,,,
5/2/23,12:40 PM,22,22_T1,Armand,HN_31,2,22,1,T1,C_517,C,Clefairy,517,SCTLD,HN,31,HN_31_SCTLD,5,Coral,,5.23,,,,,
5/2/23,12:40 PM,23,23_T1,Armand,HN_31,2,23,1,T1,D_540,D,Ditto,540,SCTLD,HN,31,HN_31_SCTLD,5,Coral,,4.97,,,,,
5/2/23,12:40 PM,24,24_T1,Armand,HN_31,2,24,1,T1,BLANK,NA,NA,NA,SCTLD,HN,31,HN_31_SCTLD,5,Empty,,5.88,,,,,
5/2/23,12:40 PM,25,25_T1,Armand,LN_31,2,25,1,T1,A_83,A,Eevee,83,SCTLD,LN,31,LN_31_SCTLD,0,Coral,,0.88,,,,,
5/2/23,12:40 PM,26,26_T1,Armand,LN_31,2,26,1,T1,C_518,C,Clefairy,518,SCTLD,LN,31,LN_31_SCTLD,0,Coral,,1.99,,,,,
5/2/23,12:40 PM,27,27_T1,Armand,LN_31,2,27,1,T1,D_541,D,Ditto,541,SCTLD,LN,31,LN_31_SCTLD,0,Coral,,1.01,,,,,
5/2/23,12:40 PM,28,28_T1,Armand,LN_31,2,28,1,T1,BLANK,NA,NA,NA,SCTLD,LN,31,LN_31_SCTLD,0,Empty,,2.23,,,,,
5/2/23,12:40 PM,29,29_T1,Armand,LN_31,2,29,1,T1,A_96,A,Eevee,96,SCTLD,LN,31,LN_31_SCTLD,0,Coral,,1.03,,,,,
5/2/23,12:40 PM,30,30_T1,Armand,LN_31,2,30,1,T1,C_519,C,Clefairy,519,SCTLD,LN,31,LN_31_SCTLD,0,Coral,,1.79,,,,,
5/2/23,12:40 PM,31,31_T1,Armand,LN_31,2,31,1,T1,D_542,D,Ditto,542,SCTLD,LN,31,LN_31_SCTLD,0,Coral,,1.43,,,,,
5/2/23,12:40 PM,32,32_T1,Armand,LN_31,2,32,2,T1,BLANK,NA,NA,NA,Placebo,LN,31,LN_31_Placebo,0,Empty,,1.87,,,,,
5/2/23,12:40 PM,33,33_T1,Armand,LN_28,5,33,2,T1,EMPTY,NA,NA,NA,NA,LN,28,LN_28_NA,0,Empty,,1.04,,,,,
5/2/23,12:40 PM,34,34_T1,Armand,LN_28,5,34,1,T1,A_105,A,Eevee,105,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,0.39,,,,,
5/2/23,12:40 PM,35,35_T1,Armand,LN_28,5,35,1,T1,C_520,C,Clefairy,520,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,1.91,,,,,
5/2/23,12:40 PM,36,36_T1,Armand,LN_28,5,36,1,T1,D_543,D,Ditto,543,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,1.23,,,,,
5/2/23,12:40 PM,37,37_T1,Armand,HN_28,5,37,1,T1,A_107,A,Eevee,107,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,3.43,,,,,
5/2/23,12:40 PM,38,38_T1,Armand,HN_28,5,38,1,T1,C_521,C,Clefairy,521,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.8,,,,,
5/2/23,12:40 PM,39,39_T1,Armand,HN_28,5,39,1,T1,D_544,D,Ditto,544,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.7,,,,,
5/2/23,12:40 PM,40,40_T1,Armand,LN_28,5,40,1,T1,A_109,A,Eevee,109,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,0.97,,,,,
5/2/23,12:40 PM,41,41_T1,Armand,LN_28,5,41,1,T1,C_522,C,Clefairy,522,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,0.89,,,,,
5/2/23,12:40 PM,42,42_T1,Armand,LN_28,5,42,1,T1,D_545,D,Ditto,545,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,1.28,,,,,
5/2/23,12:40 PM,43,43_T1,Armand,HN_28,5,43,1,T1,A_110,A,Eevee,110,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,2.69,,,,,
5/2/23,12:40 PM,44,44_T1,Armand,HN_28,5,44,1,T1,C_523,C,Clefairy,523,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,5.04,,,,,
5/2/23,12:40 PM,45,45_T1,Armand,HN_28,5,45,1,T1,D_546,D,Ditto,546,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,4.57,,,,,
5/2/23,12:40 PM,46,46_T1,Armand,HN_28,5,46,1,T1,A_111,A,Eevee,111,SCTLD,HN,28,HN_28_SCTLD,5,Coral,,3.77,,,,,
5/2/23,12:40 PM,47,47_T1,Armand,LN_28,5,47,1,T1,C_524,C,Clefairy,524,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,1.73,,,,,
5/2/23,12:40 PM,48,48_T1,Armand,LN_28,5,48,1,T1,A_121,A,Eevee,121,SCTLD,LN,28,LN_28_SCTLD,0,Coral,,1.88,,,,,
5/2/23,12:40 PM,49,49_T1,Armanda,LN_31,3,49,2,T1,A_201,A,Eevee,201,Placebo,LN,31,LN_31_Placebo,0,Coral,,0.34,,,,,
5/2/23,12:40 PM,50,50_T1,Armanda,LN_31,3,50,2,T1,C_526,C,Clefairy,526,Placebo,LN,31,LN_31_Placebo,0,Coral,,1.47,,,,,
5/2/23,12:40 PM,51,51_T1,Armanda,LN_31,3,51,2,T1,D_547,D,Ditto,547,Placebo,LN,31,LN_31_Placebo,0,Coral,,1.62,,,,,
