Time,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,Tank 6,Tank 7,Tank 8
05/02/2023 16:10,27.990708,28.343399,28.295127,28.026883,27.980234,28.029441,28.042586,28.329483
05/02/2023 16:15,28.016,28.305879,28.312288,27.991429,28.012967,27.972546,28.042881,28.288275
05/02/2023 16:20,28.022933,28.317157,28.380509,28.058879,28.075074,28.012312,27.994986,28.343366
05/02/2023 16:25,28.018524,28.33186,28.322058,28.045832,28.013475,28.033981,27.980922,28.29357
05/02/2023 16:30,27.982299,28.285571,28.281735,28.008673,27.972891,27.974448,28.044209,28.351546
05/02/2023 16:35,28.00605,28.403096,28.364118,28.016918,28.072943,28.000428,28.000117,28.428437
05/02/2023 16:40,28.018098,28.519523,28.505869,28.060289,28.029736,28.063321,28.03049,28.572697
05/02/2023 16:45,28.001313,28.661472,28.647457,28.027539,27.970497,28.004886,28.033522,28.711613
05/02/2023 16:50,27.999133,28.753607,28.765573,27.985102,28.058289,27.978005,27.966908,28.72961
05/02/2023 16:55,28.008542,28.700663,28.747985,28.064124,28.033637,28.048504,28.005018,28.6866
05/02/2023 17:00,28.032817,28.708515,28.682436,28.038325,27.969776,28.061108,28.008673,28.747133
05/02/2023 17:05,28.009132,28.727725,28.730463,27.993396,28.041963,28.005296,27.988593,28.687993
05/02/2023 17:10,28.000182,28.677683,28.769277,28.027605,28.045143,27.95668,28.029736,28.759574
05/02/2023 17:15,28.01359,28.746641,28.71081,28.054503,27.974317,28.01659,28.023327,28.704778
05/02/2023 17:20,28.022655,28.689452,28.687485,28.017327,28.007443,28.071648,27.957876,28.738511
05/02/2023 17:25,28.011804,28.724005,28.766245,27.992183,28.076779,28.022622,28.024851,28.719481
05/02/2023 17:30,27.992954,28.712088,28.710547,28.067829,28.002657,27.953533,28.027408,28.683305
05/02/2023 17:35,28.020114,28.680912,28.690878,28.035473,27.97707,28.04398,27.994248,28.748706
05/02/2023 17:40,28.020671,28.750706,28.774621,27.986872,28.075615,28.03603,28.038915,28.695107
05/02/2023 17:45,27.993773,28.693402,28.725496,28.058174,28.03244,27.981021,28.006132,28.749821
05/02/2023 17:50,28.003083,28.729119,28.67688,28.061797,27.965449,28.021556,27.970497,28.700073
05/02/2023 17:55,28.035505,28.728119,28.775162,28.026277,28.048045,28.052257,28.038505,28.741609
05/02/2023 18:00,28.007034,28.677388,28.730545,27.990446,28.046766,28.016606,28.015705,28.705646
05/02/2023 18:05,27.993871,28.748083,28.679158,28.048651,27.972973,27.959335,28.008542,28.735855
05/02/2023 18:10,28.00287,28.68737,28.77921,28.033112,28.032866,28.030621,28.026769,28.723857
05/02/2023 18:15,28.038734,28.743281,28.730446,27.989577,28.051634,28.025638,27.98425,28.713858
05/02/2023 18:20,27.991872,28.721546,28.678125,28.053749,27.979201,27.989479,28.008509,28.710351
05/02/2023 18:25,28.00428,28.700286,28.753722,28.050962,28.025392,27.994216,28.053536,28.711301
